block,sampling,bromeliad,Spp,abundance,duplicate_sample,notes
Baker,initial,A5,Bdelloidea,3,1,NA
Baker,initial,N5,Bdelloidea,51,1,NA
Baker,initial,N5,Harpacticoida_nauplius,1,1,NA
Baker,initial,V3,Bdelloidea,9,1,NA
Baker,initial,V3,Harpacticoida_nauplius,7,1,NA
Baker,initial,V3,Harpacticoida_adult,7,1,NA
Baker,initial,V3,Cyclopoida_adult,1,1,NA
Baker,initial,A6,Bdelloidea,6,1,NA
Baker,initial,A6,Cyclopoida_adult,2,1,NA
Baker,initial,V10,Bdelloidea,2,1,NA
Baker,initial,V10,Harpacticoida_nauplius,1,1,NA
Baker,initial,V10,Harpacticoida_adult,1,1,NA
Baker,initial,V10,Cyclopoida_nauplius,2,1,NA
Baker,initial,V10,Cyclopoida_adult,3,1,NA
Baker,initial,N1,Bdelloidea,3,1,NA
Baker,initial,N1,Centropyxis_aculeata,111,1,NA
Baker,initial,N1,Centropyxis_discoides,45,1,NA
Baker,initial,N1,Cyclopoida_adult,3,1,NA
Baker,final,A5,Bdelloidea,4,1,NA
Baker,final,N5,Bdelloidea,12,1,NA
Baker,final,V3,Bdelloidea,9,1,NA
Baker,final,V3,Harpacticoida_nauplius,7,1,NA
Baker,final,V3,Harpacticoida_adult,1,1,NA
Baker,final,A6,Bdelloidea,3,1,NA
Baker,final,V10,Bdelloidea,23,1,NA
Baker,final,V10,Harpacticoida_nauplius,6,1,NA
Baker,final,V10,Harpacticoida_adult,1,1,NA
Baker,final,N1,Bdelloidea,18,1,NA
Baker,final,N1,Centropyxis_aculeata,30,1,NA
Baker,final,N1,Centropyxis_discoides,8,1,NA
Baker,final,N1,Harpacticoida_adult,1,1,NA
Baker,final,N1,Cyclopoida_nauplius,1,1,NA
Eccleson,initial,N8,Bdelloidea,54,1,NA
Eccleson,initial,V9,Bdelloidea,1,1,NA
Eccleson,initial,V9,Harpacticoida_nauplius,2,1,NA
Eccleson,initial,V9,Harpacticoida_adult,4,1,NA
Eccleson,initial,V9,Cyclopoida_adult,1,1,NA
Eccleson,initial,V6,Bdelloidea,3,1,NA
Eccleson,initial,V6,Harpacticoida_adult,2,1,NA
Eccleson,initial,V6,Cyclopoida_adult,2,1,NA
Eccleson,initial,N7,Bdelloidea,5,1,NA
Eccleson,initial,A9,Bdelloidea,10,1,NA
Eccleson,initial,A11,Bdelloidea,1,1,NA
Eccleson,final,N8,Bdelloidea,158,1,NA
Eccleson,final,N8,Lecane_decipiens,2,1,NA
Eccleson,final,V9,Harpacticoida_nauplius,1,1,NA
Eccleson,final,V9,Harpacticoida_adult,1,1,NA
Eccleson,final,V6,Bdelloidea,3,1,NA
Eccleson,final,V6,Harpacticoida_adult,1,1,NA
Eccleson,final,N7,Bdelloidea,8,1,NA
Eccleson,final,A9,Bdelloidea,11,1,NA
Eccleson,final,A11,Bdelloidea,6,1,NA
Davidson,initial,V4,Cyclopoida_nauplius,1,1,NA
Davidson,initial,V4,Harpacticoida_nauplius,2,1,NA
Davidson,initial,V4,Harpacticoida_adult,1,1,NA
Davidson,initial,N6,Lecane_bulla,1,1,NA
Davidson,initial,N2,Bdelloidea,4,1,NA
Davidson,initial,N2,Centropyxis_aculeata,278,1,NA
Davidson,initial,N2,Centropyxis_discoides,54,1,NA
Davidson,initial,N2,Harpacticoida_adult,2,1,NA
Davidson,initial,V8,Cyclopoida_adult,1,1,NA
Davidson,initial,V8,Harpacticoida_nauplius,2,1,NA
Davidson,initial,V8,Harpacticoida_adult,3,1,NA
Davidson,initial,A7,Bdelloidea,14,1,NA
Davidson,final,A8,Bdelloidea,23,1,NA
Davidson,final,V4,Bdelloidea,3,1,NA
Davidson,final,V4,Lecane_decipiens,1,1,NA
Davidson,final,V4,Harpacticoida_nauplius,2,1,NA
Davidson,final,N6,Bdelloidea,43,1,NA
Davidson,final,N6,Lecane_decipiens,1,1,NA
Davidson,final,N6,Centropyxis_aculeata,1,1,NA
Davidson,final,N6,Tardigrada,1,1,NA
Davidson,final,N2,Bdelloidea,5,1,NA
Davidson,final,N2,Centropyxis_aculeata,12,1,NA
Davidson,final,N2,Centropyxis_discoides,1,1,NA
Davidson,final,N2,Harpacticoida_nauplius,2,1,NA
Davidson,final,N2,Harpacticoida_adult,3,1,NA
Davidson,final,V8,Bdelloidea,6,1,NA
Davidson,final,V8,Centropyxis_aculeata,2,1,NA
Davidson,final,V8,Centropyxis_discoides,1,1,NA
Davidson,final,V8,Harpacticoida_nauplius,2,1,NA
Davidson,final,A7,Bdelloidea,10,1,NA
Davidson,final,A7,Centropyxis_aculeata,1,1,NA
Smith,initial,A16,Bdelloidea,2,1,NA
Smith,initial,N12,Bdelloidea,17,1,NA
Smith,initial,V7,Cyclopoida_nauplius,1,1,NA
Smith,initial,V7,Cyclopoida_adult,2,1,NA
Smith,initial,V7,Harpacticoida_nauplius,3,1,NA
Smith,initial,V7,Harpacticoida_adult,1,1,NA
Smith,initial,N13,Bdelloidea,5,1,NA
Smith,initial,A14,Bdelloidea,2,1,NA
Smith,initial,V1,Bdelloidea,1,1,NA
Smith,initial,V1,Cyclopoida_nauplius,1,1,NA
Smith,initial,V1,Cyclopoida_adult,1,1,NA
Smith,initial,V1,Harpacticoida_adult,1,1,NA
Smith,final,A16,Bdelloidea,5,1,NA
Smith,final,N12,Bdelloidea,11,1,NA
Smith,final,V7,Bdelloidea,1,1,NA
Smith,final,N13,Bdelloidea,23,1,NA
Smith,final,A14,Bdelloidea,13,1,NA
Smith,final,V1,Bdelloidea,2,1,NA
Smith,final,V1,Harpacticoida_nauplius,3,1,NA
Smith,final,V1,Harpacticoida_adult,1,1,NA
Tennant,initial,N11,Bdelloidea,3,1,NA
Tennant,initial,V2,Harpacticoida_nauplius,1,1,NA
Tennant,initial,V2,Harpacticoida_adult,4,1,NA
Tennant,initial,V2,Cyclopoida_adult,1,1,NA
Tennant,initial,A12,Bdelloidea,16,1,NA
Tennant,initial,A13,Bdelloidea,5,1,NA
Tennant,initial,N9,Bdelloidea,5,1,NA
Tennant,initial,N9,Lecane_decipiens,1,1,NA
Tennant,initial,N9,Centropyxis_aculeata,69,1,NA
Tennant,initial,N9,Cyclopoida_nauplius,4,1,NA
Tennant,initial,N9,Cyclopoida_adult,10,1,NA
Tennant,initial,V11,Bdelloidea,2,1,NA
Tennant,initial,V11,Harpacticoida_nauplius,2,1,NA
Tennant,initial,V11,Harpacticoida_adult,1,1,NA
Tennant,final,N11,Bdelloidea,17,1,NA
Tennant,final,N11,Cyclopoida_nauplius,2,1,NA
Tennant,final,V2,Bdelloidea,4,1,NA
Tennant,final,V2,Lecane_decipiens,1,1,NA
Tennant,final,V2,Harpacticoida_nauplius,5,1,NA
Tennant,final,V2,Harpacticoida_adult,5,1,NA
Tennant,final,A12,Bdelloidea,46,1,NA
Tennant,final,A12,Centropyxis_aculeata,5,1,NA
Tennant,final,A13,Bdelloidea,53,1,NA
Tennant,final,A13,Cyclopoida_adult,2,1,NA
Tennant,final,N9,Bdelloidea,5,1,NA
Tennant,final,N9,Centropyxis_aculeata,17,1,NA
Tennant,final,N9,Cyclopoida_nauplius,1,1,NA
Tennant,final,N9,Harpacticoida_adult,1,1,NA
Tennant,final,V11,Bdelloidea,14,1,NA
Tennant,final,V11,Harpacticoida_nauplius,9,1,NA
Tennant,final,V11,Harpacticoida_adult,3,1,NA
Donna,initial,N29,Bdelloidea,6,1,NA
Donna,initial,N29,Ostracoda,1,1,NA
Donna,initial,N33,Bdelloidea,2,1,NA
Donna,initial,N33,Lecane_stichaea,1,1,NA
Donna,initial,N50,NA,NA,1,NA
Donna,initial,N49,NA,NA,1,NA
Donna,initial,N47,Bdelloidea,4,1,NA
Donna,initial,N47,Lecane_closterocerca,5,1,NA
Donna,initial,N44,Cyclopoida_adult,2,1,NA
Donna,final,N29,Bdelloidea,35,1,NA
Donna,final,N33,Bdelloidea,126,1,NA
Donna,final,N33,Centropyxis_aculeata,1,1,NA
Donna,final,N33,Lecane_decipiens,1,1,NA
Donna,final,N50,Bdelloidea,99,1,NA
Donna,final,N49,Bdelloidea,48,1,NA
Donna,final,N49,Ostracoda,1,1,NA
Donna,final,N49,Lepadella_patella,1,1,NA
Donna,final,N47,Bdelloidea,49,1,NA
Donna,final,N44,Bdelloidea,66,1,NA
Pond,initial,N48,Bdelloidea,4,1,NA
Pond,initial,N35,Bdelloidea,1,1,NA
Pond,initial,N35,Cyclopoida_adult,1,1,NA
Pond,initial,N35,Ostracoda,1,1,NA
Pond,initial,N20,Harpacticoida_adult,1,1,NA
Pond,initial,N22,NA,NA,1,NA
Pond,initial,N52,Bdelloidea,26,1,NA
Pond,initial,N51,Bdelloidea,8,1,NA
Pond,final,N48,Bdelloidea,178,1,NA
Pond,final,N35,Bdelloidea,132,1,NA
Pond,final,N35,Lecane_bulla,1,1,NA
Pond,final,N20,Bdelloidea,103,1,NA
Pond,final,N22,Bdelloidea,113,1,NA
Pond,final,N52,Bdelloidea,93,1,NA
Pond,final,N52,Lepadella_patella,1,1,NA
Pond,final,N20,Bdelloidea,62,2,NA
Rose,initial,N40,Bdelloidea,6,1,NA
Rose,initial,N40,Lecane_bulla,3,1,NA
Rose,initial,N40,Lecane_decipiens,1,1,NA
Rose,initial,N40,Tardigrada,1,1,NA
Rose,initial,N38,Lecane_decipiens,1,1,NA
Rose,initial,N38,Cyclopoida_adult,1,1,NA
Rose,initial,N36,Bdelloidea,7,1,NA
Rose,initial,N36,Lecane_bulla,3,1,NA
Rose,initial,N36,Lecane_decipiens,1,1,NA
Rose,initial,N36,Lecane_lunaris,1,1,NA
Rose,initial,N36,Centropyxis_aculeata,297,1,NA
Rose,initial,N39,Bdelloidea,5,1,NA
Rose,initial,N39,Lecane_bulla,4,1,NA
Rose,initial,N39,Lecane_decipiens,3,1,NA
Rose,initial,N39,Lecane_lunaris,1,1,NA
Rose,initial,N39,Cyclopoida_adult,3,1,NA
Rose,initial,N34,Bdelloidea,32,1,NA
Rose,initial,N34,Lecane_bulla,8,1,NA
Rose,initial,N34,Lecane_lunaris,16,1,NA
Rose,initial,N34,Lecane_cornuta,8,1,NA
Rose,initial,N34,Lecane_stichaea,10,1,NA
Rose,initial,N34,Lecane_decipiens,6,1,NA
Rose,initial,N34,Lecane_closterocerca,5,1,NA
Rose,initial,N37,Bdelloidea,26,1,NA
Rose,initial,N37,Lecane_bulla,1,1,NA
Rose,initial,N37,Cyclopoida_nauplius,1,1,NA
Rose,final,N40,Bdelloidea,97,1,NA
Rose,final,N40,Lecane_decipiens,4,1,NA
Rose,final,N40,Lecane_cornuta,2,1,NA
Rose,final,N40,Lecane_bulla,4,1,NA
Rose,final,N40,Lecane_stichaea,3,1,NA
Rose,final,N40,Centropyxis_aculeata,16,1,NA
Rose,final,N40,Tardigrada,1,1,NA
Rose,final,N38,Bdelloidea,86,1,NA
Rose,final,N38,Lecane_cornuta,5,1,NA
Rose,final,N38,Lecane_bulla,2,1,NA
Rose,final,N38,Lecane_stichaea,4,1,NA
Rose,final,N38,Centropyxis_aculeata,37,1,NA
Rose,final,N36,Bdelloidea,70,1,NA
Rose,final,N36,Lecane_cornuta,4,1,NA
Rose,final,N36,Lecane_stichaea,1,1,NA
Rose,final,N36,Centropyxis_aculeata,30,1,NA
Rose,final,N39,Bdelloidea,126,1,NA
Rose,final,N39,Lecane_bulla,3,1,NA
Rose,final,N39,Lecane_cornuta,1,1,NA
Rose,final,N39,Centropyxis_aculeata,34,1,NA
Rose,final,N39,Cyclopoida_nauplius,1,1,NA
Rose,final,N34,Bdelloidea,45,1,NA
Rose,final,N34,Lecane_cornuta,3,1,NA
Rose,final,N34,Lepadella_patella,1,1,NA
Rose,final,N34,Tardigrada,1,1,NA
Rose,final,N37,Bdelloidea,185,1,NA
Rose,final,N37,Lecane_decipiens,2,1,NA
Rose,final,N37,Lecane_cornuta,2,1,NA
Rose,final,N37,Lecane_stichaea,1,1,NA
Rose,final,N37,Centropyxis_aculeata,19,1,NA
Martha,initial,N45,Bdelloidea,17,1,NA
Martha,initial,N45,Lecane_decipiens,2,1,NA
Martha,initial,N45,Lecane_bulla,1,1,NA
Martha,initial,N45,Lecane_stichaea,1,1,NA
Martha,initial,N45,Lecane_opias,8,1,NA
Martha,initial,N45,Cyclopoida_adult,3,1,NA
Martha,initial,N45,Tardigrada,1,1,NA
Martha,initial,N21,Lecane_closterocerca,1,1,NA
Martha,initial,N43,Bdelloidea,8,1,NA
Martha,initial,N43,Lecane_decipiens,1,1,NA
Martha,initial,N43,Lecane_bulla,2,1,NA
Martha,initial,N43,Lecane_opias,1,1,NA
Martha,initial,N43,Tardigrada,1,1,NA
Martha,initial,N41,Bdelloidea,13,1,NA
Martha,initial,N41,Centropyxis_aculeata,61,1,NA
Martha,initial,N46,Bdelloidea,13,1,NA
Martha,initial,N46,Lecane_decipiens,10,1,NA
Martha,initial,N46,Lecane_bulla,28,1,NA
Martha,initial,N46,Lecane_stichaea,11,1,NA
Martha,initial,N46,Lecane_opias,22,1,NA
Martha,initial,N46,Cyclopoida_adult,1,1,NA
Martha,initial,N27,Bdelloidea,6,1,NA
Martha,final,N45,Bdelloidea,60,1,NA
Martha,final,N45,Lecane_bulla,1,1,NA
Martha,final,N45,Cyclopoida_adult,1,1,NA
Martha,final,N21,Bdelloidea,25,1,NA
Martha,final,N21,Lecane_bulla,1,1,NA
Martha,final,N43,Bdelloidea,96,1,NA
Martha,final,N43,Lecane_bulla,1,1,NA
Martha,final,N43,Lecane_stichaea,1,1,NA
Martha,final,N43,Cyclopoida_adult,1,1,NA
Martha,final,N41,Bdelloidea,63,1,NA
Martha,final,N41,Lecane_decipiens,1,1,NA
Martha,final,N41,Lecane_bulla,1,1,NA
Martha,final,N41,Asplanchna_sp.,1,1,NA
Martha,final,N41,Cyclopoida_nauplius,1,1,NA
Martha,final,N41,Tardigrada,1,1,NA
Martha,final,N46,Bdelloidea,98,1,NA
Martha,final,N46,Lecane_bulla,4,1,NA
Martha,final,N27,Bdelloidea,24,1,NA
Martha,final,N27,Lecane_bulla,4,1,NA
Martha,final,N27,Lepadella_patella,1,1,NA
Martha,final,N27,Centropyxis_aculeata,1,1,NA
Sarah Jane,initial,N23,Lecane_stichaea,4,1,NA
Sarah Jane,initial,N42,Cyclopoida_adult,2,1,NA
Sarah Jane,initial,N24,Bdelloidea,1,1,NA
Sarah Jane,initial,N24,Centropyxis_aculeata,123,1,NA
Sarah Jane,initial,N30,Bdelloidea,4,1,NA
Sarah Jane,initial,N28,Lecane_bulla,3,1,diluted in 40mL and counted 2mL
Sarah Jane,initial,N28,Cyclopoida_adut,2,1,diluted in 40mL and counted 2mL
Sarah Jane,initial,N28,Tardigrada,1,1,diluted in 40mL and counted 2mL
Sarah Jane,initial,N25,Lecane_bulla,1,1,NA
Sarah Jane,initial,N25,Lecane_stichaea,1,1,NA
Sarah Jane,initial,N25,Lecane_opias,1,1,NA
Sarah Jane,initial,N25,Centropyxis_aculeata,26,1,NA
Sarah Jane,final,N23,Bdelloidea,32,1,NA
Sarah Jane,final,N23,Lecane_stichaea,1,1,NA
Sarah Jane,final,N42,Bdelloidea,6,1,NA
Sarah Jane,final,N42,Centropyxis_aculeata,1,1,NA
Sarah Jane,final,N24,Bdelloidea,7,1,NA
Sarah Jane,final,N24,Centropyxis_aculeata,12,1,NA
Sarah Jane,final,N30,Bdelloidea,56,1,NA
Sarah Jane,final,N30,Lecane_decipiens,2,1,NA
Sarah Jane,final,N30,Lepadella_patella,1,1,NA
Sarah Jane,final,N30,Cyclopoida_adult,1,1,NA
Sarah Jane,final,N28,Bdelloidea,6,1,diluted in 40mL and counted 2mL
Sarah Jane,final,N28,Centropyxis_aculeata,1,1,diluted in 40mL and counted 2mL
Sarah Jane,final,N28,Centropyxis_discoides,2,1,diluted in 40mL and counted 2mL
Sarah Jane,final,N25,Bdelloidea,23,1,NA
Sarah Jane,final,N25,Lecane_decipiens,1,1,NA
Sarah Jane,final,N25,Lepadella_patella,2,1,NA
Sarah Jane,final,N25,Centropyxis_aculeata,1,1,NA
