code,brom.spp,Actual.water.held.(ml),Maximum.water-holding.capacity.(ml),Number.of.leaves,Bromeliad.diameter,Height.above.ground,Water.Temperature,pH,Chlorophyll.a,Turbidity,Water.Coloration.(430.nm),Total.Organic.Carbon.(TOC),Inorganic.Carbon.(IC),Dissolved.Organic.Carbon.(DOC),PO4,NH4+,NO3
VN1,VN,420,1630,67,50,0,45,4.51,0.1672,47.56,0.012,95.09,2.275,92.815,15.225,4.65,1.042
VN2,VN,80,1000,45,37,0,38,5.42,0.2568,33.36,0.025,42.65,1.923,40.727,0.026,10.05,7.339
VN3,VN,200,2000,70,46,0,35,4.95,2.4813,333.6,0.017,48.23,1.558,46.672,0.41,1.49,3.07
VN4,VN,325,1570,65,45,0,32,4.44,1.6218,615.9,0.096,54.44,2.735,51.705,26.06,17.27,6.433
VN5,VN,165,1400,80,40,0,28,4.48,1.7139,64.27,0.041,22.49,1.702,20.788,0.17,10.38,1.976
VN6,VN,115,710,42,38,0,29,4.74,0.0532,49.48,0.036,34.51,2.216,32.294,1.625,0.86,1.776
VN7,VN,205,880,59,32,0,29,4.94,0.1064,329.8,0.011,48.79,1.257,47.533,0.2,12.56,4.157
VN8,VN,350,650,70,45,0,35,4.27,0.0266,303.9,0.029,38.39,1.952,36.438,0.23,2.67,3.909
VN9,VN,475,550,42,50,0,36,5.09,8.956,66.69,0.031,35.74,2.409,33.331,1.09,5.14,1.096
VN10,VN,1015,1950,67,50,0,32,5.08,27.1658,56.42,0.046,386.1,6.344,379.756,0.75,3.84,2.934
VN11,VN,525,1190,68,65,0,31,5.48,8.7684,354.4,0.142,72.78,1.783,70.997,1.47,0.34,6.903
VN12,VN,730,3000,89,50,0,31,5.91,3.3345,375.4,0.175,73.55,2.162,71.388,0.59,3.12,1.624
VN13,VN,595,1300,44,61,0,30,5.09,5.8302,42.5,0.052,118.7,1.624,117.076,1.77,2.71,1.108
VN14,VN,755,2000,97,50,0,29,4.8,0.6331,29.36,0.055,478.5,13.505,464.995,1.61,0.34,3.297
VN15,VN,290,1100,53,40,0,29,4.35,2.4247,333.5,0.06,124.76,4.158,120.602,1.53,0.96,7.267
VN16,VN,1000,2800,73,42,0,36,4.33,15.774,414.2,0.035,19.6,2.089,17.511,1.89,1.78,4.726
AN1,AN,77,115,12,19,0,44,5.99,12.3367,85.13,0.041,27.6,1.831,25.769,5.58,8.521,6.512
AN2,AN,75,170,15,17,0,36,4.41,0.7492,51.81,0.028,41.03,2,39.03,1.625,16.72,2.686
AN3,AN,105,300,12,25,0,30,3.82,9.972,606.6,0.043,75.41,2.521,72.889,6.2,7.65,17.393
AN4,AN,90,250,14,20,0,41.6,4.18,4.7434,414.3,0.009,121.28,5.508,115.772,0.57,3.67,3.518
AN5,AN,62,125,14,13.9,0,39,5.09,6.9276,88.98,0.033,61.66,2.538,59.122,0.53,5.3,5.037
AN6,AN,107,220,7,13,0,36,4.12,2.761,56.62,0.017,16.74,2.343,14.397,0.05,7.07,5.445
AN7,AN,70,350,15,25,0,34,4.76,4.8213,599.9,0.028,232.04,10.98,221.06,0.63,8.89,15.406
AN8,AN,295,450,13,15,0,37,4.27,0.0266,177.7,0.002,18.6,1.571,17.029,0.013,2.28,3.877
AN9,AN,370,445,15,35,0,39,5.35,0.4727,30.85,0.012,20.66,2.257,18.403,0.225,11.97,3.613
AN10,AN,245,505,17,20,0,54.9,4.67,0.0266,15.14,0.017,57.91,2.314,55.596,0.46,2.94,2.196
AN11,AN,175,560,13,20,0,36,5.93,0.0532,202.4,0.006,99.43,2.232,97.198,0.01,6.32,5.522
AN12,AN,160,450,12,22,0,40,4.81,2.7929,214,0.009,38.12,1.33,36.79,0.18,1.135,3.595
AN13,AN,110,210,13,23,0,37,5.35,1.3071,39.49,0.161,229.12,9.604,219.516,2.75,0.34,3.333
AN14,AN,150,460,13,50,0,33,5.4,4.7611,57.56,0.226,69.86,1.962,67.898,0.46,1.47,7.179
AN15,AN,315,600,18,31,0,38,4.57,2.8778,274.5,0.029,258.8,4.616,254.184,1.755,4.08,6.06
NC1,NC,690,1250,30,35,0,36,4.92,22.4434,55.17,0.007,75.4,1.885,73.515,3.53,5.29,1.498
NC2,NC,771,1440,34,28,0,33,5.47,9.1755,72.82,0.029,24.93,2.043,22.887,3.09,2.71,3.609
NC3,NC,505,1015,33,30,0,35,5.69,13.4199,350,0.017,130.88,10.32,120.56,0.81,4.64,3.417
NC4,NC,360,700,38,29,0,33,3.97,17.6007,658.4,0.019,32.31,2.019,30.291,0.23,2.42,4.86
NC5,NC,285,550,24,18,0,34,4.48,5.7806,38.53,0.009,13.23,2.381,10.849,1.25,13.62,2.606
NC6,NC,290,520,19,27,0,33,4.67,13.4093,48.94,0.017,36.31,2.353,33.957,6.5,1.82,2.183
NC7,NC,360,1400,31,33,0,36,5.4,10.5667,391.4,0.012,140.34,7.509,132.831,0.965,0.67,3.774
NC8,NC,145,950,45,25,0,38,5.13,13.3173,596.7,0.052,38.33,2.473,35.857,1.535,6,28.451
NC9,NC,354,1000,43,44,0,35,4.65,8.156,19.59,0.019,14.85,2.08,12.77,0.66,5.86,1.486
NC10,NC,290,910,29,27,0,41,6.43,27.4525,92.72,0.046,37.84,2.727,35.113,0.32,7.41,4.726
NC11,NC,180,320,21,25,0,42,5.45,18.6379,459.9,0.017,249.36,9.528,239.832,4.28,3.69,2.71
NC12,NC,195,2000,38,35,0,32,5.1,8.4498,358.9,0.096,69.43,5.648,63.782,2.09,13.88,8.324
NC13,NC,60,620,39,23,0,31,4.51,8.1099,112.2,0.044,46.13,2.616,43.514,5.58,8.521,6.512
NC14,NC,75,860,27,30,0,37,4.89,7.6887,71.79,0.021,72.99,1.761,71.229,0.28,7.41,8.312
NC15,NC,350,1000,28,30,0,31,4.77,12.2871,502.8,0.042,137.04,8.324,128.716,0.7,1.89,6.316
NC16,NC,165,510,23,26,0,36,5.76,18.1104,598.1,0.046,40.9,4.533,36.367,4.74,6.72,7.236
AL1,AL,365,1850,25,75,0,37,6.3,2.4389,96.44,0.182,124.8,15.25,109.55,200.8,158.58,3.072
AL2,AL,525,1000,41,85,0,28,5.95,3.0796,124.5,0.177,141.48,11.212,130.268,2.52,1.63,4.48
AL3,AL,500,3000,35,140,0,26,5.62,2.276,794.5,0.22,104.48,10.456,94.024,13.91,9.08,13.078
AL4,AL,800,920,24,72,0,33,5.91,15.9546,425.7,0.162,152.32,10.996,141.324,0.13,0.34,2.067
AL5,AL,725,1100,26,45,0,34,5.7,39.4708,76.25,0.032,50.43,2.535,47.895,0.26,5.25,4.538
AL6,AL,95,600,30,67,0,28.9,5.42,3.4194,129.4,0.218,98.59,3.493,95.097,5.6,18.53,9.325
AL7,AL,75,515.9,24,44,0,28,5.75,4.3186,69.86,0.138,391.72,13.8,377.92,5.582,8.521,6.512
AL8,AL,110,450,39,60,0,29,4.24,13.5332,466.1,0.02,50.03,1.773,48.257,0.5,1.5,7.667
AL9,AL,375,1450,35,72,0,29,5.71,0.2699,362.6,0.226,310.08,12.432,297.648,6.4,41.48,5.986
AL10,AL,265,1100,36,67,0,32,4.58,14.2837,131.9,0.318,130.54,3.272,127.268,1.42,0.79,4.148
AL11,AL,105,1800,30,80,0,32,4.85,11.7951,117.4,0.18,152.48,11.592,140.888,0.13,11.72,14.56
AL12,AL,120,820,38,31,0,36,5.97,0.1835,292.9,0.048,166.64,9.628,157.012,0.03,2.64,7.033
AL13,AL,305,1250,30,70,0,33,5.11,0.8926,317.1,0.069,56.18,3.735,52.445,0.072,9.97,2.711
AL14,AL,130,1105,32,50,0,34,4.69,4.0142,101.6,0.026,35.1,2.634,32.466,0.6,3.74,3.024
AL15,AL,310,980,33,55,0,29,5.67,24.9108,68.09,0.036,2390,26.34,2363.66,4.25,3.72,3.446
AL16,AL,315,1000,33,67,0,28,5.09,1.7015,335.4,0.048,185.72,3.234,182.486,2.42,4.36,3.877
